Date,SO2,NOX,PM10,PM2.5,O3,Pb ,CO,Station ID,Station Name
06-04-2016,4.4,9.3,85.2,27.1,,,,1,Assanora
09-04-2016,4.5,9.2,88.6,33.5,,,,1,Assanora
13-04-2016,4.4,9.2,84.1,25.9,,,,1,Assanora
16-04-2016,4.2,8.8,77.2,23.3,,,,1,Assanora
20-04-2016,4.2,8.9,71.2,21.9,,,,1,Assanora
23-04-2016,3.8,8.8,54.3,18.1,,,,1,Assanora
27-04-2016,4.1,8.8,64.2,20.3,,,,1,Assanora
30-04-2016,4.2,8.7,68.5,22.9,,,,1,Assanora
04-05-2016,4.2,9.3,68.1,20.8,,,,1,Assanora
07-05-2016,4.3,9.1,58.1,18.9,,,,1,Assanora
11-05-2016,4.4,9.2,72,28.6,,,,1,Assanora
14-05-2016,4.2,8.8,54.5,17.3,,,,1,Assanora
18-05-2016,3.8,8.8,47.3,14.7,,,,1,Assanora
21-05-2016,4,8.7,51,16.4,,,,1,Assanora
25-05-2016,4.2,8.8,57.4,17.9,,,,1,Assanora
28-05-2016,3.8,8.8,45.1,14,,,,1,Assanora
01-06-2016,4.1,8.7,52.9,16.1,,,,1,Assanora
04-06-2016,3,6.8,45.5,14.3,,,,1,Assanora
08-06-2016,4,8.9,44.9,13.6,,,,1,Assanora
11-06-2016,4.2,8.1,30,10.6,,,,1,Assanora
15-06-2016,3.8,8.5,53.3,16.9,,,,1,Assanora
18-06-2016,3.6,8.7,57.8,17.5,,,,1,Assanora
22-06-2016,2.6,4.5,53.5,16.8,,,,1,Assanora
25-06-2016,3.7,7.8,52.1,15.7,,,,1,Assanora
29-06-2016,2.6,4.5,55,17.9,,,,1,Assanora
06-07-2016,4.2,9.1,41.5,13.9,<0.5,<0.001,<0.01,1,Assanora
09-07-2016,4.2,8.7,55.9,16.9,<0.5,<0.001,<0.01,1,Assanora
13-07-2016,5.6,12.4,59.5,18.3,<0.5,<0.001,<0.01,1,Assanora
16-07-2016,4.2,9.2,34.8,12.2,<0.5,<0.001,<0.01,1,Assanora
20-07-2016,4.2,8.6,38.1,12.4,<0.5,<0.001,<0.01,1,Assanora
23-07-2016,3.5,7.7,27.2,9,<0.5,<0.001,<0.01,1,Assanora
27-07-2016,2.4,4.5,21.1,7.6,<0.5,<0.001,<0.01,1,Assanora
30-07-2016,2.4,5.3,15.4,6,<0.5,<0.001,<0.01,1,Assanora
03-08-2016,3.2,5.6,34.3,11.8,<0.5,<0.001,<0.01,1,Assanora
06-08-2016,3.5,8,39.5,12.9,<0.5,<0.001,<0.01,1,Assanora
10-08-2016,2,4.5,29,10.5,<0.5,<0.001,<0.01,1,Assanora
13-08-2016,4,8.8,43.1,14.4,<0.5,<0.001,<0.01,1,Assanora
17-08-2016,3.6,8.3,46.4,15.1,<0.5,<0.001,<0.01,1,Assanora
20-08-2016,4,8.6,43.8,14.8,<0.5,<0.001,<0.01,1,Assanora
