Date,Num_obs_PM10,PM10,PM2.5,Station ID
01-01-2012,,67.3,29.6,4
01-02-2012,,80.7,27.6,4
01-03-2012,,88.8,38.5,4
01-12-2011,,94.3,45.79,6
01-01-2012,,126.44,48.52,6
01-02-2012,,185.17,49.46,6
01-03-2012,,202.58,54.59,6
01-04-2012,,182.26,48.35,6
01-05-2012,,178.38,50.03,6
01-06-2012,,63.66,17.31,6
01-07-2012,,53.51,15.21,6
01-08-2012,,64.22,18.79,6
01-09-2012,,74.2,31.73,6
,,,,
,,,,
,,,,
