Date,PM10,Station ID
01-12-2017,106.62,18
01-01-2018,110.71,18
01-02-2018,91.75,18
01-03-2018,122.57,18
01-04-2018,147.75,18
01-06-2018,109,18
01-07-2018,58.86,18
01-08-2018,59,18
01-09-2018,45.14,18
01-10-2018,47,18
01-11-2018,150.89,18
01-12-2018,175.62,18
01-01-2019,138.9,18
01-02-2019,168.88,18
01-03-2019,151.5,18
01-04-2019,139.67,18
01-05-2019,65.86,18
01-06-2019,49.6,18
01-07-2019,60.57,18
01-08-2019,71,18
01-09-2019,86.67,18
01-10-2019,51.22,18
01-11-2019,55.36,18
01-12-2019,61.22,18
01-01-2020,89.44,18
01-02-2020,125.5,18
01-03-2020,84.17,18
01-04-2020,45.6,18
01-05-2020,50.38,18
01-06-2020,142,18
01-09-2020,41.17,18
01-10-2020,28.11,18
01-11-2020,48.5,18
01-12-2020,65.22,18
01-01-2021,74.56,18
01-02-2021,87.5,18
01-03-2021,79.11,18
01-04-2017,155.12,19
01-05-2017,172.11,19
01-06-2017,103,19
01-07-2017,102.2,19
01-08-2017,80.75,19
01-09-2017,100.57,19
01-10-2017,114.75,19
01-11-2017,211.89,19
01-12-2017,128.62,19
01-01-2018,153,19
01-02-2018,100.75,19
01-03-2018,134,19
01-04-2019,166,19
01-05-2019,69.78,19
01-06-2019,73.8,19
01-07-2019,54.57,19
01-08-2019,86.71,19
01-04-2020,42.1,19
01-05-2020,39.38,19
01-09-2020,36.5,19
01-10-2020,36.89,19
01-11-2020,70,19
01-12-2020,64.89,19
01-01-2021,71,19
01-02-2021,79.62,19
01-03-2021,67,19
01-04-2016,74.1625,1
01-05-2016,56.6875,1
01-06-2016,49.44444444,1
01-07-2016,36.6875,1
01-08-2016,40.01111111,1
01-09-2016,40.125,1
01-10-2016,60.15555556,1
01-11-2016,77.24444444,1
01-12-2016,82.77777778,1
01-01-2017,81.34444444,1
01-02-2017,50.325,1
01-04-2017,59.15,1
01-05-2017,47.63333333,1
01-06-2017,46.5,1
01-07-2017,38.5625,1
01-08-2017,35.25555556,1
01-09-2017,33.47777778,1
01-10-2017,47.375,1
01-11-2017,56.87777778,1
01-12-2017,69.45,1
01-01-2018,82.25555556,1
01-02-2018,78.5125,1
01-03-2018,61.65555556,1
01-04-2018,64.1875,1
01-05-2018,50.01111111,1
01-06-2018,35.45,1
01-07-2018,28.1125,1
01-08-2018,36.45555556,1
01-10-2018,78.71666667,1
01-12-2018,60.365,1
01-01-2019,79.72888889,1
01-02-2019,91.81,1
01-03-2019,83.92,1
01-04-2019,64,1
01-05-2019,57.33333333,1
01-06-2019,41.25,1
01-07-2019,35,1
01-08-2019,36.66666667,1
01-09-2019,46,1
01-10-2019,47.33333333,1
01-11-2019,50.875,1
01-12-2019,53.22222222,1
