Month	SO2	NO2	PM10	PM2.5	Station ID
Jun-14	3.96	8.59	47.56	16.71	12
Jul-14	4.13	9.08	46.79	16.03	12
Aug-14	4.09	9.03	39.45	14.29	12
Sep-14	4.05	8.95	39.6	13.26	12
Oct-14	5.84	9.76	50.72	19.25	12
Nov-14	4.26	9.29	77.44	27.54	12
Dec-14	4.17	9.09	81.5	30.04	12
Jan-15	4.1	9	68.1	23.8	12
Feb-15	4.5	9.16	72.86	26.96	12
Mar-15	4.11	9.13	60.1	20.89	12
Apr-14	8.64	11.02	64.72	33.03	13
May-14	8.94	11.23	58.76	27.25	13
Jun-14	8.68	11.18	46.7	20.74	13
Jul-14	8.03	10.12	40.32	19.43	13
Aug-14	8.92	11.16	41.6	18.51	13
Sep-14	9.3	11.6	58.36	27.23	13
Oct-14	9.31	11.53	60.96	32.18	13
Nov-14	9.1	11.23	67.72	31.55	13
Dec-14	8.92	10.96	72.76	33.58	13
Jan-15	9.1	11.1	62.7	31.2	13
Feb-15	9.43	11.53	73.08	56.7	13
Mar-15	9.25	11.17	63.01	32.83	13
Apr-14	-	-	-	-	14
May-14	-	-	-	-	14
Jun-14	-	-	-	-	14
Jul-14	-	-	-	-	14
Aug-14	-	-	-	-	14
Sep-14	4.1	9.1	56.1	19.21	14
Oct-14	5.7	9.8	57.5	26.31	14
Nov-14	4.2	9.3	57.6	24.8	14
Dec-14	4.2	9.1	80.5	43.9	14
Jan-15	4.2	9.1	76.5	34.3	14
Feb-15	4.2	9.4	48.3	48.6	14
Mar-15	4.13	9.3	76.54	32.79	14
