Month,SO2,NO2,PM10,PM2.5,Station ID
Nov-15,4,9.2,57.7,20.7,12
Dec-15,4,9.1,59.5,19.4,12
Jan-16,4,9.1,65.3,24.1,12
Feb-16,4.1,9.2,70.9,24.3,12
Mar-16,4.1,9.1,53.3,18.8,12
Apr-15,9.6,11.6,94.3,31.1,13
May-15,9.2,11.2,54.4,29.3,13
Jun-15,9.1,11.4,42,22.5,13
Jul-15,-,-,-,-,13
Aug-15,-,-,-,-,13
Sep-15,-,-,-,-,13
Oct-15,-,-,-,-,13
Nov-15,-,-,-,-,13
Dec-15,-,-,-,-,13
Jan-16,-,-,-,-,13
Feb-16,-,-,-,-,13
Mar-16,-,-,-,-,13
Apr-15,4.3,9.2,69,29.5,14
May-15,4.2,9.12,58.4,23.1,14
Jun-15,3.6,8.1,44.5,15.5,14
Jul-15,3.4,7.3,45.8,18.4,14
Aug-15,3.6,8,41.9,16,14
Sep-15,3.4,7.8,42.8,15.9,14
Oct-15,4.1,9.1,38.5,13.7,14
Nov-15,4.1,9.1,38.7,13.5,14
Dec-15,4,9.1,45.1,15.5,14
Jan-16,4,9,61.4,21.1,14
Feb-16,4,9,62,21.8,14
Mar-16,4.5,9.2,67.1,24.1,14
